,states,year,quarter,district,trans_counts,amount
43,andaman-&-nicobar-islands,2021,3,south andaman district,382418,1116789010.645961
44,andaman-&-nicobar-islands,2021,3,nicobars district,20754,74980519.3281361
45,andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115,156486112.2873243
46,andaman-&-nicobar-islands,2021,4,south andaman district,558571,1694794708.0093331
47,andaman-&-nicobar-islands,2021,4,nicobars district,24437,81329281.02699961
48,andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059,161624878.52274162
49,andaman-&-nicobar-islands,2022,1,south andaman district,705512,1872991195.9026842
50,andaman-&-nicobar-islands,2022,1,nicobars district,29177,94414127.64974089
51,andaman-&-nicobar-islands,2022,2,north and middle andaman district,72573,195693167.78757262
52,andaman-&-nicobar-islands,2022,2,south andaman district,954875,2357326563.362071
53,andaman-&-nicobar-islands,2022,2,nicobars district,43769,132900618.93062322
54,andaman-&-nicobar-islands,2022,3,north and middle andaman district,79574,211581970.34202647
55,andaman-&-nicobar-islands,2022,3,south andaman district,1455255,2967719400.849909
56,andaman-&-nicobar-islands,2022,3,nicobars district,49550,131330400.94545081
57,andaman-&-nicobar-islands,2022,4,north and middle andaman district,93297,241431284.3558103
58,andaman-&-nicobar-islands,2022,4,south andaman district,1835592,3600887266.099448
59,andaman-&-nicobar-islands,2022,4,nicobars district,58646,142355853.9735252
60,andhra-pradesh,2018,1,east godavari district,943935,1235785515.599726
61,andhra-pradesh,2018,1,srikakulam district,458921,587778028.9183557
62,andhra-pradesh,2018,1,spsr nellore district,531612,676643237.8069417
63,andhra-pradesh,2018,1,vizianagaram district,420990,505783445.78161997
64,andhra-pradesh,2018,1,visakhapatnam district,1256469,1749966196.5049942
65,andhra-pradesh,2018,1,prakasam district,534757,748990775.8676485
66,andhra-pradesh,2018,1,anantapur district,638664,788830646.0324218
67,andhra-pradesh,2018,1,ysr district,487333,681481931.0936775
68,andhra-pradesh,2018,1,west godavari district,577090,853547668.7532667
69,andhra-pradesh,2018,1,kurnool district,679623,764905298.7350456
70,andhra-pradesh,2018,1,chittoor district,830324,1009621878.0870509
71,andhra-pradesh,2018,1,guntur district,815932,1108686589.026682
72,andhra-pradesh,2018,1,krishna district,863935,1284255179.6156201
73,andhra-pradesh,2018,2,east godavari district,1221677,2168914928.423901
74,andhra-pradesh,2018,2,srikakulam district,559868,929392017.3670052
75,andhra-pradesh,2018,2,spsr nellore district,780454,1542057934.010896
76,andhra-pradesh,2018,2,vizianagaram district,529588,811711367.5080049
77,andhra-pradesh,2018,2,visakhapatnam district,1641192,2987853607.2939086
78,andhra-pradesh,2018,2,prakasam district,739991,1571167562.1276271
79,andhra-pradesh,2018,2,anantapur district,937023,1690366079.055792
80,andhra-pradesh,2018,2,ysr district,690842,1415500367.686184
81,andhra-pradesh,2018,2,west godavari district,786033,1688025212.304594
82,andhra-pradesh,2018,2,kurnool district,968439,1531888665.684323
83,andhra-pradesh,2018,2,chittoor district,1185723,1990419125.893711
84,andhra-pradesh,2018,2,guntur district,1088101,2108475811.785996
85,andhra-pradesh,2018,2,krishna district,1224987,2448141593.4919834
86,andhra-pradesh,2018,3,east godavari district,3226907,3551247095.3074474
87,andhra-pradesh,2018,3,srikakulam district,1073883,1318322236.598471
88,andhra-pradesh,2018,3,spsr nellore district,1308890,2215938596.1851077
89,andhra-pradesh,2018,3,vizianagaram district,970132,1163546006.895916
90,andhra-pradesh,2018,3,visakhapatnam district,3394576,4821892253.393524
91,andhra-pradesh,2018,3,prakasam district,1319651,2346453445.483843
92,andhra-pradesh,2018,3,anantapur district,1815215,2681787750.4641647
93,andhra-pradesh,2018,3,ysr district,1557444,2235904512.2542043
94,andhra-pradesh,2018,3,west godavari district,1431282,2309078492.805814
95,andhra-pradesh,2018,3,kurnool district,2921189,2908389261.539773
96,andhra-pradesh,2018,3,chittoor district,2297429,3283517630.720593
97,andhra-pradesh,2018,3,guntur district,1912529,3127764663.180438
98,andhra-pradesh,2018,3,krishna district,2396934,3754202654.384461
99,andhra-pradesh,2018,4,east godavari district,3052762,4652624623.436675
100,andhra-pradesh,2018,4,srikakulam district,1252807,1870278609.504549
101,andhra-pradesh,2018,4,spsr nellore district,1814997,3293448556.973445
102,andhra-pradesh,2018,4,vizianagaram district,1386787,1817673252.541776
103,andhra-pradesh,2018,4,visakhapatnam district,4791421,7366635864.849373
104,andhra-pradesh,2018,4,prakasam district,1692862,3255254226.03728
105,andhra-pradesh,2018,4,anantapur district,2286391,3975878156.3298287
106,andhra-pradesh,2018,4,ysr district,1732527,3252340063.247859
107,andhra-pradesh,2018,4,west godavari district,1688482,3237504255.4632454
108,andhra-pradesh,2018,4,kurnool district,2508530,3626544852.4069242
109,andhra-pradesh,2018,4,chittoor district,3166201,4979093890.223491
110,andhra-pradesh,2018,4,guntur district,2546620,4730251217.6969595
111,andhra-pradesh,2018,4,krishna district,2839161,5416251838.130406
112,andhra-pradesh,2019,1,east godavari district,5440146,7382264724.59952
113,andhra-pradesh,2019,1,srikakulam district,2526855,3407912878.415258
114,andhra-pradesh,2019,1,spsr nellore district,3333584,5161932216.216368
115,andhra-pradesh,2019,1,vizianagaram district,2798241,3364576948.2993007
116,andhra-pradesh,2019,1,visakhapatnam district,9690866,13459857440.552681
117,andhra-pradesh,2019,1,prakasam district,2931081,4807527779.215152
118,andhra-pradesh,2019,1,anantapur district,3891336,6044730653.191345
119,andhra-pradesh,2019,1,ysr district,2852197,4915811593.896078
120,andhra-pradesh,2019,1,west godavari district,2829437,4623764455.47309
121,andhra-pradesh,2019,1,kurnool district,4193432,5541564892.509683
122,andhra-pradesh,2019,1,chittoor district,6486813,8223371732.233584
123,andhra-pradesh,2019,1,guntur district,4846553,7765934169.404485
124,andhra-pradesh,2019,1,krishna district,5443981,9061346433.07268
125,andhra-pradesh,2019,2,east godavari district,4699261,9116404622.476511
126,andhra-pradesh,2019,2,srikakulam district,2019203,4066576539.9368386
127,andhra-pradesh,2019,2,spsr nellore district,3141891,6880873007.482059
128,andhra-pradesh,2019,2,vizianagaram district,2272320,4443041665.039663
129,andhra-pradesh,2019,2,visakhapatnam district,11705738,20797479804.02907
130,andhra-pradesh,2019,2,prakasam district,2670529,6262396448.455349
131,andhra-pradesh,2019,2,anantapur district,3578836,7830782361.377665
132,andhra-pradesh,2019,2,ysr district,2606284,6376856828.130631
133,andhra-pradesh,2019,2,west godavari district,2402074,5676818258.955046
134,andhra-pradesh,2019,2,kurnool district,3895824,7358285187.018034
135,andhra-pradesh,2019,2,chittoor district,5983308,10982727976.22432
136,andhra-pradesh,2019,2,guntur district,5005275,10405246943.48149
137,andhra-pradesh,2019,2,krishna district,6428472,13437029115.62075
138,andhra-pradesh,2019,3,east godavari district,6537303,11387726470.57774
139,andhra-pradesh,2019,3,srikakulam district,2556296,4610131289.524039
140,andhra-pradesh,2019,3,spsr nellore district,4150195,8256600118.735449
141,andhra-pradesh,2019,3,vizianagaram district,2861581,4922069039.192161
142,andhra-pradesh,2019,3,visakhapatnam district,16694947,26944837120.04628
143,andhra-pradesh,2019,3,prakasam district,3430750,7354502261.15091
144,andhra-pradesh,2019,3,anantapur district,4889720,9554081289.488277
145,andhra-pradesh,2019,3,ysr district,3296586,7447544274.211781
146,andhra-pradesh,2019,3,west godavari district,3179541,6627629029.014131
147,andhra-pradesh,2019,3,kurnool district,5139134,9025632779.412457
148,andhra-pradesh,2019,3,chittoor district,8201783,13837455758.755262
149,andhra-pradesh,2019,3,guntur district,6942304,13075661264.18803
150,andhra-pradesh,2019,3,krishna district,8408474,16404073560.50078
151,andhra-pradesh,2019,4,east godavari district,9285739,16816774065.30131
152,andhra-pradesh,2019,4,srikakulam district,3712555,6832369301.879346
153,andhra-pradesh,2019,4,spsr nellore district,5877804,11786014089.19402
154,andhra-pradesh,2019,4,vizianagaram district,3998234,7175851807.068796
155,andhra-pradesh,2019,4,visakhapatnam district,23594874,39133296330.044624
156,andhra-pradesh,2019,4,prakasam district,4865473,10604077824.801031
157,andhra-pradesh,2019,4,anantapur district,6764112,13887248889.06406
158,andhra-pradesh,2019,4,ysr district,4793157,10865073855.73078
159,andhra-pradesh,2019,4,west godavari district,4596479,9710614747.20177
160,andhra-pradesh,2019,4,kurnool district,7001958,13233105728.54823
161,andhra-pradesh,2019,4,chittoor district,11246986,19298476027.87548
162,andhra-pradesh,2019,4,guntur district,9761330,18565626418.03591
163,andhra-pradesh,2019,4,krishna district,11719402,23039786404.046642
164,andhra-pradesh,2020,1,east godavari district,11346242,21854701379.428677
165,andhra-pradesh,2020,1,srikakulam district,4835092,9777575594.177538
166,andhra-pradesh,2020,1,spsr nellore district,7430247,15387829694.446861
167,andhra-pradesh,2020,1,vizianagaram district,5042066,9879174240.920494
168,andhra-pradesh,2020,1,visakhapatnam district,27115031,48809747614.67889
169,andhra-pradesh,2020,1,prakasam district,6318396,14169104764.52673
170,andhra-pradesh,2020,1,anantapur district,8466129,17864325752.82528
171,andhra-pradesh,2020,1,ysr district,6031255,14059924636.81991
172,andhra-pradesh,2020,1,west godavari district,5919670,12995834340.71623
173,andhra-pradesh,2020,1,kurnool district,8246869,17022710311.81304
174,andhra-pradesh,2020,1,chittoor district,13257740,23441848567.34419
175,andhra-pradesh,2020,1,guntur district,11493331,22992734620.64621
176,andhra-pradesh,2020,1,krishna district,12175289,24481702770.71471
177,andhra-pradesh,2020,2,east godavari district,13130334,26319906327.32029
178,andhra-pradesh,2020,2,srikakulam district,6425515,12153650076.87583
179,andhra-pradesh,2020,2,spsr nellore district,9454274,20665376460.772232
180,andhra-pradesh,2020,2,vizianagaram district,6690313,12819344389.54538
181,andhra-pradesh,2020,2,visakhapatnam district,25300401,48293889917.414375
182,andhra-pradesh,2020,2,prakasam district,8844580,19846026726.90433
183,andhra-pradesh,2020,2,anantapur district,10473739,22094006659.412502
184,andhra-pradesh,2020,2,ysr district,8033609,19597207268.13202
185,andhra-pradesh,2020,2,west godavari district,7273096,16585866855.15978
186,andhra-pradesh,2020,2,kurnool district,9821381,22419372061.805172
187,andhra-pradesh,2020,2,chittoor district,14848197,27361300300.01902
188,andhra-pradesh,2020,2,guntur district,12308707,27463593607.839104
189,andhra-pradesh,2020,2,krishna district,12313709,26964149095.36629
190,andhra-pradesh,2020,3,east godavari district,17972431,39300043804.758514
191,andhra-pradesh,2020,3,srikakulam district,8286289,18029574581.33742
192,andhra-pradesh,2020,3,spsr nellore district,16468209,39128324534.03022
193,andhra-pradesh,2020,3,vizianagaram district,8236703,17567816576.50126
194,andhra-pradesh,2020,3,visakhapatnam district,34421299,67628440368.111465
195,andhra-pradesh,2020,3,prakasam district,12266310,31221704852.44969
196,andhra-pradesh,2020,3,anantapur district,14447683,34102037972.657852
197,andhra-pradesh,2020,3,ysr district,11934653,32037007334.12973
198,andhra-pradesh,2020,3,west godavari district,10412351,25408608725.75429
199,andhra-pradesh,2020,3,kurnool district,13243292,32529351107.17173
200,andhra-pradesh,2020,3,chittoor district,20501863,42811566246.16463
201,andhra-pradesh,2020,3,guntur district,17601395,42531195809.75448
202,andhra-pradesh,2020,3,krishna district,19110457,44788458672.084435
203,andhra-pradesh,2020,4,east godavari district,25989490,58732615663.118416
204,andhra-pradesh,2020,4,srikakulam district,11092184,25222520275.27882
205,andhra-pradesh,2020,4,spsr nellore district,20934374,49115443663.37911
206,andhra-pradesh,2020,4,vizianagaram district,10580824,24094847668.44506
207,andhra-pradesh,2020,4,visakhapatnam district,46551467,91879823025.40399
208,andhra-pradesh,2020,4,prakasam district,16176867,41852443493.51539
209,andhra-pradesh,2020,4,anantapur district,20996384,49732610814.26222
210,andhra-pradesh,2020,4,ysr district,15676878,42572974713.44026
211,andhra-pradesh,2020,4,west godavari district,15674762,40310975762.603455
212,andhra-pradesh,2020,4,kurnool district,18737323,44718203115.22612
213,andhra-pradesh,2020,4,chittoor district,29590411,61505711149.79541
214,andhra-pradesh,2020,4,guntur district,26136538,60641872021.254326
215,andhra-pradesh,2020,4,krishna district,27981050,64461504667.60723
216,andhra-pradesh,2021,1,east godavari district,26190701,60027984987.969505
217,andhra-pradesh,2021,1,srikakulam district,11160473,26486623313.092724
218,andhra-pradesh,2021,1,spsr nellore district,22541428,52210333201.53073
219,andhra-pradesh,2021,1,vizianagaram district,10514582,24153782497.24324
220,andhra-pradesh,2021,1,visakhapatnam district,48248923,95308386037.84721
221,andhra-pradesh,2021,1,prakasam district,15175395,41396223622.17477
222,andhra-pradesh,2021,1,anantapur district,20102957,48353870395.01808
223,andhra-pradesh,2021,1,ysr district,15374473,42570919448.50447
224,andhra-pradesh,2021,1,west godavari district,16015685,42124030669.36126
225,andhra-pradesh,2021,1,kurnool district,17918524,44941629659.56964
226,andhra-pradesh,2021,1,chittoor district,29342609,60947491846.66089
227,andhra-pradesh,2021,1,guntur district,27445045,64207987853.1084
228,andhra-pradesh,2021,1,krishna district,29717175,69715406644.53485
229,andhra-pradesh,2021,2,east godavari district,31717908,74604325863.66068
230,andhra-pradesh,2021,2,srikakulam district,13546232,32298129544.54086
231,andhra-pradesh,2021,2,spsr nellore district,30290406,72283071757.09679
232,andhra-pradesh,2021,2,vizianagaram district,12689494,29140685236.830723
233,andhra-pradesh,2021,2,visakhapatnam district,54390299,114439012713.3533
234,andhra-pradesh,2021,2,prakasam district,19944047,54535328043.04135
235,andhra-pradesh,2021,2,anantapur district,25123346,60987487571.27991
236,andhra-pradesh,2021,2,ysr district,18457361,52523527031.021324
237,andhra-pradesh,2021,2,west godavari district,20950964,57233116236.187965
238,andhra-pradesh,2021,2,kurnool district,21972396,56659287474.9958
239,andhra-pradesh,2021,2,chittoor district,34344902,73654690122.43158
240,andhra-pradesh,2021,2,guntur district,32968819,82356914463.83287
241,andhra-pradesh,2021,2,krishna district,36370960,90021923049.96454
242,andhra-pradesh,2021,3,east godavari district,39572714,89380370072.7078
243,andhra-pradesh,2021,3,srikakulam district,15639768,34836400769.87681
244,andhra-pradesh,2021,3,spsr nellore district,34411958,77839676988.30869
245,andhra-pradesh,2021,3,vizianagaram district,14510005,31383541628.21252
246,andhra-pradesh,2021,3,visakhapatnam district,69220981,136945652159.2651
247,andhra-pradesh,2021,3,prakasam district,24116580,63367713446.92805
248,andhra-pradesh,2021,3,anantapur district,30366444,70291248155.64975
249,andhra-pradesh,2021,3,ysr district,22439316,60683557724.65233
250,andhra-pradesh,2021,3,west godavari district,26245039,66647238455.1675
251,andhra-pradesh,2021,3,kurnool district,26377809,62527453761.598076
252,andhra-pradesh,2021,3,chittoor district,42628568,89371931753.04831
253,andhra-pradesh,2021,3,guntur district,41675093,96525353090.12306
254,andhra-pradesh,2021,3,krishna district,44828275,104417897558.5897
255,andhra-pradesh,2021,4,east godavari district,48992531,106725597026.00351
256,andhra-pradesh,2021,4,srikakulam district,18501857,39713657870.15512
257,andhra-pradesh,2021,4,spsr nellore district,41921081,92256405076.26547
258,andhra-pradesh,2021,4,vizianagaram district,17253059,36577529464.968704
259,andhra-pradesh,2021,4,visakhapatnam district,82711538,159530099772.73468
260,andhra-pradesh,2021,4,prakasam district,27858275,71323060008.47623
261,andhra-pradesh,2021,4,anantapur district,36129136,81239787006.64764
262,andhra-pradesh,2021,4,ysr district,26340348,69081850069.2033
263,andhra-pradesh,2021,4,west godavari district,33235175,81292461575.08183
264,andhra-pradesh,2021,4,kurnool district,31782248,73968947669.64754
265,andhra-pradesh,2021,4,chittoor district,51119640,103985734663.7351
266,andhra-pradesh,2021,4,guntur district,50919286,115553993673.1733
267,andhra-pradesh,2021,4,krishna district,55489829,125015323207.8983
268,andhra-pradesh,2022,1,east godavari district,54738830,121067103712.79561
269,andhra-pradesh,2022,1,srikakulam district,20990782,46898912115.649216
270,andhra-pradesh,2022,1,spsr nellore district,47645702,104895571602.1398
271,andhra-pradesh,2022,1,vizianagaram district,19278262,41994853361.58878
272,andhra-pradesh,2022,1,visakhapatnam district,88233362,170120350591.26
273,andhra-pradesh,2022,1,prakasam district,31340975,79494373254.71565
274,andhra-pradesh,2022,1,anantapur district,40613148,90197023268.43825
275,andhra-pradesh,2022,1,ysr district,29783739,78421693518.90942
276,andhra-pradesh,2022,1,west godavari district,37271259,92397939903.60939
277,andhra-pradesh,2022,1,kurnool district,35093633,81568420500.54749
278,andhra-pradesh,2022,1,chittoor district,58561024,117900595508.634
279,andhra-pradesh,2022,1,guntur district,57226996,129673727687.0894
280,andhra-pradesh,2022,1,krishna district,61826199,139690081529.49042
281,andhra-pradesh,2022,2,east godavari district,62072845,135531452997.63911
282,andhra-pradesh,2022,2,srikakulam district,23727353,53754764122.43269
283,andhra-pradesh,2022,2,spsr nellore district,54838708,121941082043.49481
284,andhra-pradesh,2022,2,vizianagaram district,21766135,47294745020.495636
285,andhra-pradesh,2022,2,visakhapatnam district,101387402,193242841582.14282
286,andhra-pradesh,2022,2,prakasam district,36163507,90435082545.97766
287,andhra-pradesh,2022,2,anantapur district,46099366,102138758015.7691
288,andhra-pradesh,2022,2,ysr district,33154559,87601310069.59737
289,andhra-pradesh,2022,2,west godavari district,44409239,107973244960.42819
290,andhra-pradesh,2022,2,kurnool district,40165692,92409350855.50198
291,andhra-pradesh,2022,2,chittoor district,67507661,136435445124.75612
292,andhra-pradesh,2022,2,guntur district,66315749,147098141568.7623
293,andhra-pradesh,2022,2,krishna district,73525814,163997729295.9313
294,andhra-pradesh,2022,3,east godavari district,61467134,129677722169.7482
295,andhra-pradesh,2022,3,srikakulam district,22126541,46899962921.785614
296,andhra-pradesh,2022,3,spsr nellore district,42116582,95099325968.25972
297,andhra-pradesh,2022,3,vizianagaram district,20440645,42513313394.84207
298,andhra-pradesh,2022,3,visakhapatnam district,97434546,181124419863.6144
299,andhra-pradesh,2022,3,prakasam district,35376080,87475230073.46388
300,andhra-pradesh,2022,3,anantapur district,45165363,97735649608.10074
301,andhra-pradesh,2022,3,ysr district,33119038,86016932181.12372
302,andhra-pradesh,2022,3,west godavari district,43635951,101706854744.31871
303,andhra-pradesh,2022,3,kurnool district,39557913,88415335176.31995
304,andhra-pradesh,2022,3,chittoor district,65751781,133053581631.6395
305,andhra-pradesh,2022,3,guntur district,65612317,141588522953.2377
306,andhra-pradesh,2022,3,krishna district,71051144,153770559025.69122
307,andhra-pradesh,2022,4,east godavari district,68016055,136531110139.8625
308,andhra-pradesh,2022,4,srikakulam district,23693779,47726411107.886284
309,andhra-pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
310,andhra-pradesh,2022,4,vizianagaram district,22205190,44467386404.34759
311,andhra-pradesh,2022,4,visakhapatnam district,103790055,185306149744.73102
312,andhra-pradesh,2022,4,prakasam district,37211077,88105031866.36835
313,andhra-pradesh,2022,4,anantapur district,48299601,101533878537.2343
314,andhra-pradesh,2022,4,ysr district,35201596,87360426792.81667
315,andhra-pradesh,2022,4,west godavari district,47919930,105335724990.5932
316,andhra-pradesh,2022,4,kurnool district,43524766,94667441029.08345
317,andhra-pradesh,2022,4,chittoor district,70322534,136840859888.1815
318,andhra-pradesh,2022,4,guntur district,70723763,146938735166.5236
319,andhra-pradesh,2022,4,krishna district,76526667,157826011193.3544
320,arunachal-pradesh,2018,1,lower dibang valley district,1356,1076236.814073793
321,arunachal-pradesh,2018,1,lower subansiri district,1477,3650727.893614269
322,arunachal-pradesh,2018,1,longding district,2321,4361531.578447229
323,arunachal-pradesh,2018,1,west siang district,1887,4796675.565399804
324,arunachal-pradesh,2018,1,kamle district,14,7971.330494807651
325,arunachal-pradesh,2018,1,upper siang district,126,186610.66988095018
326,arunachal-pradesh,2018,1,tirap district,945,1064265.0002443574
327,arunachal-pradesh,2018,1,papum pare district,14224,32555848.46233147
328,arunachal-pradesh,2018,1,kurung kumey district,84,99416.58027150274
329,arunachal-pradesh,2018,1,siang district,252,339471.80434222345
330,arunachal-pradesh,2018,1,lower siang district,1292,2337960.7148240386
331,arunachal-pradesh,2018,1,kra daadi district,207,495375.1454853307
332,arunachal-pradesh,2018,1,changlang district,3195,5380749.415278763
333,arunachal-pradesh,2018,1,pakke kessang district,9,9131.404205737199
334,arunachal-pradesh,2018,1,dibang valley district,2,169.88856537681642
335,arunachal-pradesh,2018,1,west kameng district,5787,9540632.547015157
336,arunachal-pradesh,2018,1,east siang district,3286,5533620.186295529
337,arunachal-pradesh,2018,1,upper subansiri district,735,1358367.5018580484
338,arunachal-pradesh,2018,1,east kameng district,529,473824.76595106337
339,arunachal-pradesh,2018,1,lohit district,3747,11496949.54576835
340,arunachal-pradesh,2018,1,lepa rada district,288,403149.46702687367
341,arunachal-pradesh,2018,1,tawang district,2334,5055665.022950603
342,arunachal-pradesh,2018,1,namsai district,1400,2162984.705083958
343,arunachal-pradesh,2018,2,lower dibang valley district,1827,2561237.506207262
344,arunachal-pradesh,2018,2,lower subansiri district,1666,4113742.04406352
345,arunachal-pradesh,2018,2,longding district,4634,10271170.16552131
346,arunachal-pradesh,2018,2,west siang district,2579,7610989.567485569
347,arunachal-pradesh,2018,2,kamle district,12,23654.058373191845
348,arunachal-pradesh,2018,2,upper siang district,240,494895.09277159756
349,arunachal-pradesh,2018,2,tirap district,1903,3126393.7649546335
350,arunachal-pradesh,2018,2,papum pare district,25363,66520931.20355792
351,arunachal-pradesh,2018,2,kurung kumey district,83,123737.2220411206
352,arunachal-pradesh,2018,2,anjaw district,7,7871.020814692305
353,arunachal-pradesh,2018,2,siang district,336,740232.6309634304
354,arunachal-pradesh,2018,2,lower siang district,2292,2179451.657976534
355,arunachal-pradesh,2018,2,kra daadi district,247,987135.9959717204
356,arunachal-pradesh,2018,2,changlang district,6066,13294258.50337311
357,arunachal-pradesh,2018,2,pakke kessang district,48,58359.57138935899
358,arunachal-pradesh,2018,2,dibang valley district,68,65769.2036735354
359,arunachal-pradesh,2018,2,west kameng district,10466,25521321.34140157
360,arunachal-pradesh,2018,2,east siang district,6363,15285584.202916931
361,arunachal-pradesh,2018,2,upper subansiri district,1285,2911910.3689207276
362,arunachal-pradesh,2018,2,east kameng district,522,1825297.4617279815
363,arunachal-pradesh,2018,2,lohit district,6962,20520618.88189011
364,arunachal-pradesh,2018,2,lepa rada district,511,731444.7370576829
365,arunachal-pradesh,2018,2,tawang district,5447,13722374.81135791
366,arunachal-pradesh,2018,2,namsai district,3230,6271811.327635023
367,arunachal-pradesh,2018,3,lower dibang valley district,2824,6074558.207066888
368,arunachal-pradesh,2018,3,lower subansiri district,2346,5154231.737357968
369,arunachal-pradesh,2018,3,longding district,5288,18327334.05075552
370,arunachal-pradesh,2018,3,west siang district,3337,12966152.79251931
371,arunachal-pradesh,2018,3,kamle district,93,30504.94301319112
372,arunachal-pradesh,2018,3,upper siang district,250,743956.1055720671
373,arunachal-pradesh,2018,3,tirap district,3322,7479257.007852319
374,arunachal-pradesh,2018,3,papum pare district,43282,101080479.2917223
375,arunachal-pradesh,2018,3,kurung kumey district,255,303027.4066451341
376,arunachal-pradesh,2018,3,anjaw district,13,95403.67678261214
377,arunachal-pradesh,2018,3,siang district,615,2141734.499956036
378,arunachal-pradesh,2018,3,lower siang district,2625,3045590.882295873
379,arunachal-pradesh,2018,3,kra daadi district,436,1606758.4080739785
380,arunachal-pradesh,2018,3,changlang district,10162,20494174.9497154
381,arunachal-pradesh,2018,3,pakke kessang district,165,305164.81707575504
382,arunachal-pradesh,2018,3,dibang valley district,29,196466.66696677107
383,arunachal-pradesh,2018,3,west kameng district,17026,48528147.45054105
384,arunachal-pradesh,2018,3,east siang district,10539,24885270.773230053
385,arunachal-pradesh,2018,3,upper subansiri district,1601,4223297.613673143
386,arunachal-pradesh,2018,3,east kameng district,1029,3132863.590645522
387,arunachal-pradesh,2018,3,lohit district,11595,32702331.664437763
388,arunachal-pradesh,2018,3,lepa rada district,523,1777602.4370017413
389,arunachal-pradesh,2018,3,tawang district,8715,25733824.99410926
390,arunachal-pradesh,2018,3,namsai district,5076,10698272.7743813
391,arunachal-pradesh,2018,4,lower dibang valley district,4227,10951332.39393786
392,arunachal-pradesh,2018,4,lower subansiri district,3735,8884930.591487257
393,arunachal-pradesh,2018,4,longding district,6581,22545311.85089966
394,arunachal-pradesh,2018,4,west siang district,3813,14013986.24482587
395,arunachal-pradesh,2018,4,kamle district,247,361497.05682825705
396,arunachal-pradesh,2018,4,upper siang district,1041,2157332.9473089008
397,arunachal-pradesh,2018,4,tirap district,5725,10811742.67058608
398,arunachal-pradesh,2018,4,papum pare district,55224,154875448.2077814
