,states,year,quarter,district,trans_counts,amount
197,andhra-pradesh,2021,2,kurnool,21972396,56659287474.9958
198,andhra-pradesh,2021,2,west godavari,20950964,57233116236.187965
199,andhra-pradesh,2021,2,prakasam,19944047,54535328043.04135
200,andhra-pradesh,2021,3,visakhapatnam,69220981,136945652159.2651
201,andhra-pradesh,2021,3,krishna,44828275,104417897558.5897
202,andhra-pradesh,2021,3,chittoor,42628568,89371931753.04831
203,andhra-pradesh,2021,3,guntur,41675093,96525353090.12306
204,andhra-pradesh,2021,3,east godavari,39572714,89380370072.7078
205,andhra-pradesh,2021,3,spsr nellore,34411958,77839676988.30869
206,andhra-pradesh,2021,3,anantapur,30366444,70291248155.64975
207,andhra-pradesh,2021,3,kurnool,26377809,62527453761.598076
208,andhra-pradesh,2021,3,west godavari,26245039,66647238455.1675
209,andhra-pradesh,2021,3,prakasam,24116580,63367713446.92805
210,andhra-pradesh,2021,4,visakhapatnam,82711538,159530099772.73468
211,andhra-pradesh,2021,4,krishna,55489829,125015323207.8983
212,andhra-pradesh,2021,4,chittoor,51119640,103985734663.7351
213,andhra-pradesh,2021,4,guntur,50919286,115553993673.1733
214,andhra-pradesh,2021,4,east godavari,48992531,106725597026.00351
215,andhra-pradesh,2021,4,spsr nellore,41921081,92256405076.26547
216,andhra-pradesh,2021,4,anantapur,36129136,81239787006.64764
217,andhra-pradesh,2021,4,west godavari,33235175,81292461575.08183
218,andhra-pradesh,2021,4,kurnool,31782248,73968947669.64754
219,andhra-pradesh,2021,4,prakasam,27858275,71323060008.47623
220,andhra-pradesh,2022,1,visakhapatnam,88233362,170120350591.26
221,andhra-pradesh,2022,1,krishna,61826199,139690081529.49042
222,andhra-pradesh,2022,1,chittoor,58561024,117900595508.6339
223,andhra-pradesh,2022,1,guntur,57226996,129673727687.0894
224,andhra-pradesh,2022,1,east godavari,54738830,121067103712.79561
225,andhra-pradesh,2022,1,spsr nellore,47645702,104895571602.1398
226,andhra-pradesh,2022,1,anantapur,40613148,90197023268.43825
227,andhra-pradesh,2022,1,west godavari,37271259,92397939903.60934
228,andhra-pradesh,2022,1,kurnool,35093633,81568420500.54747
229,andhra-pradesh,2022,1,prakasam,31340975,79494373254.71565
230,andhra-pradesh,2022,2,visakhapatnam,101387402,193242841582.14282
231,andhra-pradesh,2022,2,krishna,73525814,163997729295.93118
232,andhra-pradesh,2022,2,chittoor,67507661,136435445124.75612
233,andhra-pradesh,2022,2,guntur,66315749,147098141568.7622
234,andhra-pradesh,2022,2,east godavari,62072845,135531452997.63911
235,andhra-pradesh,2022,2,spsr nellore,54838708,121941082043.49481
236,andhra-pradesh,2022,2,anantapur,46099366,102138758015.7691
237,andhra-pradesh,2022,2,west godavari,44409239,107973244960.42819
238,andhra-pradesh,2022,2,kurnool,40165692,92409350855.502
239,andhra-pradesh,2022,2,prakasam,36163507,90435082545.97768
240,andhra-pradesh,2022,3,visakhapatnam,97434546,181124419863.6144
241,andhra-pradesh,2022,3,krishna,71051144,153770559025.69122
242,andhra-pradesh,2022,3,chittoor,65751781,133053581631.6394
243,andhra-pradesh,2022,3,guntur,65612317,141588522953.2377
244,andhra-pradesh,2022,3,east godavari,61467134,129677722169.7482
245,andhra-pradesh,2022,3,anantapur,45165363,97735649608.10074
246,andhra-pradesh,2022,3,west godavari,43635951,101706854744.31871
247,andhra-pradesh,2022,3,spsr nellore,42116582,95099325968.25975
248,andhra-pradesh,2022,3,kurnool,39557913,88415335176.31995
249,andhra-pradesh,2022,3,prakasam,35376080,87475230073.46388
250,andhra-pradesh,2022,4,visakhapatnam,103790055,185306149744.73102
251,andhra-pradesh,2022,4,krishna,76526667,157826011193.3544
252,andhra-pradesh,2022,4,guntur,70723763,146938735166.5236
253,andhra-pradesh,2022,4,chittoor,70322534,136840859888.1815
254,andhra-pradesh,2022,4,east godavari,68016055,136531110139.8625
255,andhra-pradesh,2022,4,anantapur,48299601,101533878537.2343
256,andhra-pradesh,2022,4,west godavari,47919930,105335724990.5932
257,andhra-pradesh,2022,4,kurnool,43524766,94667441029.08344
258,andhra-pradesh,2022,4,spsr nellore,42582064,92085916180.68509
259,andhra-pradesh,2022,4,prakasam,37211077,88105031866.36835
260,arunachal-pradesh,2018,1,papum pare,14224,32555848.46233147
261,arunachal-pradesh,2018,1,west kameng,5787,9540632.547015157
262,arunachal-pradesh,2018,1,lohit,3747,11496949.54576835
263,arunachal-pradesh,2018,1,east siang,3286,5533620.186295529
264,arunachal-pradesh,2018,1,changlang,3195,5380749.415278763
265,arunachal-pradesh,2018,1,tawang,2334,5055665.022950603
266,arunachal-pradesh,2018,1,longding,2321,4361531.578447229
267,arunachal-pradesh,2018,1,west siang,1887,4796675.565399804
268,arunachal-pradesh,2018,1,lower subansiri,1477,3650727.893614269
269,arunachal-pradesh,2018,1,namsai,1400,2162984.705083958
270,arunachal-pradesh,2018,2,papum pare,25363,66520931.20355792
271,arunachal-pradesh,2018,2,west kameng,10466,25521321.34140157
272,arunachal-pradesh,2018,2,lohit,6962,20520618.88189011
273,arunachal-pradesh,2018,2,east siang,6363,15285584.202916931
274,arunachal-pradesh,2018,2,changlang,6066,13294258.50337311
275,arunachal-pradesh,2018,2,tawang,5447,13722374.81135791
276,arunachal-pradesh,2018,2,longding,4634,10271170.16552131
277,arunachal-pradesh,2018,2,namsai,3230,6271811.327635023
278,arunachal-pradesh,2018,2,west siang,2579,7610989.567485569
279,arunachal-pradesh,2018,2,lower siang,2292,2179451.657976534
280,arunachal-pradesh,2018,3,papum pare,43282,101080479.2917223
281,arunachal-pradesh,2018,3,west kameng,17026,48528147.45054105
282,arunachal-pradesh,2018,3,lohit,11595,32702331.664437763
283,arunachal-pradesh,2018,3,east siang,10539,24885270.773230053
284,arunachal-pradesh,2018,3,changlang,10162,20494174.9497154
285,arunachal-pradesh,2018,3,tawang,8715,25733824.99410926
286,arunachal-pradesh,2018,3,longding,5288,18327334.05075552
287,arunachal-pradesh,2018,3,namsai,5076,10698272.7743813
288,arunachal-pradesh,2018,3,west siang,3337,12966152.79251931
289,arunachal-pradesh,2018,3,tirap,3322,7479257.007852319
290,arunachal-pradesh,2018,4,papum pare,55224,154875448.2077814
291,arunachal-pradesh,2018,4,west kameng,25439,89194886.84322134
292,arunachal-pradesh,2018,4,lohit,14268,40510521.94979761
293,arunachal-pradesh,2018,4,changlang,13950,32343047.413952347
294,arunachal-pradesh,2018,4,east siang,12893,34272134.34491677
295,arunachal-pradesh,2018,4,tawang,11104,35921510.894032694
296,arunachal-pradesh,2018,4,namsai,7244,17643523.29373534
297,arunachal-pradesh,2018,4,longding,6581,22545311.85089966
298,arunachal-pradesh,2018,4,tirap,5725,10811742.67058608
299,arunachal-pradesh,2018,4,lower dibang valley,4227,10951332.39393786
300,arunachal-pradesh,2019,1,papum pare,70941,188556716.3567257
301,arunachal-pradesh,2019,1,west kameng,34289,101333633.6760416
302,arunachal-pradesh,2019,1,changlang,17589,40239141.669717625
303,arunachal-pradesh,2019,1,lohit,15896,42834776.778045304
304,arunachal-pradesh,2019,1,east siang,15621,39284373.054099694
305,arunachal-pradesh,2019,1,tawang,13102,39489779.13784294
306,arunachal-pradesh,2019,1,namsai,8600,20065516.61635517
307,arunachal-pradesh,2019,1,longding,7287,25349462.055245362
308,arunachal-pradesh,2019,1,tirap,6877,14075747.836402498
309,arunachal-pradesh,2019,1,lower dibang valley,6314,13738776.181438861
310,arunachal-pradesh,2019,2,papum pare,86433,246640891.34861863
311,arunachal-pradesh,2019,2,west kameng,37430,122521180.75595032
312,arunachal-pradesh,2019,2,lohit,18693,48893746.831022196
313,arunachal-pradesh,2019,2,changlang,18631,48891048.26477764
314,arunachal-pradesh,2019,2,east siang,16494,46549881.23941852
315,arunachal-pradesh,2019,2,tawang,15960,55915834.5871187
316,arunachal-pradesh,2019,2,namsai,9637,22491356.65721929
317,arunachal-pradesh,2019,2,west siang,8041,24549832.97718149
318,arunachal-pradesh,2019,2,tirap,6868,18633793.43372325
319,arunachal-pradesh,2019,2,longding,6744,23464027.89281261
320,arunachal-pradesh,2019,3,papum pare,117940,301518075.7016427
321,arunachal-pradesh,2019,3,west kameng,53939,147186019.8759076
322,arunachal-pradesh,2019,3,changlang,29218,58354823.443366826
323,arunachal-pradesh,2019,3,lohit,24505,54539458.214344315
324,arunachal-pradesh,2019,3,tawang,24097,72221026.28393415
325,arunachal-pradesh,2019,3,east siang,22611,58040119.9573143
326,arunachal-pradesh,2019,3,namsai,13453,25507641.015596062
327,arunachal-pradesh,2019,3,west siang,11889,30014806.81680297
328,arunachal-pradesh,2019,3,tirap,11249,21737827.19336869
329,arunachal-pradesh,2019,3,longding,10269,26620415.019238282
330,arunachal-pradesh,2019,4,papum pare,143272,378838002.3434037
331,arunachal-pradesh,2019,4,west kameng,66740,198205637.50055432
332,arunachal-pradesh,2019,4,changlang,33963,71874990.9639822
333,arunachal-pradesh,2019,4,tawang,30077,91949243.60711189
334,arunachal-pradesh,2019,4,lohit,29281,67502324.59236205
335,arunachal-pradesh,2019,4,east siang,26605,72075285.44344108
336,arunachal-pradesh,2019,4,namsai,18290,32501252.235055383
337,arunachal-pradesh,2019,4,tirap,16459,38467790.7269052
338,arunachal-pradesh,2019,4,west siang,14581,39460255.46641725
339,arunachal-pradesh,2019,4,lower subansiri,11806,29634357.48680521
340,arunachal-pradesh,2020,1,papum pare,180373,457430754.15953165
341,arunachal-pradesh,2020,1,west kameng,75363,198712422.2374845
342,arunachal-pradesh,2020,1,changlang,43858,93461363.58699806
343,arunachal-pradesh,2020,1,lohit,36985,83701268.27182505
344,arunachal-pradesh,2020,1,east siang,33743,82011539.42531273
345,arunachal-pradesh,2020,1,tawang,31865,84425193.41571434
346,arunachal-pradesh,2020,1,namsai,23112,46444942.9567038
347,arunachal-pradesh,2020,1,west siang,19728,47929440.73153875
348,arunachal-pradesh,2020,1,tirap,18369,40877851.79372531
349,arunachal-pradesh,2020,1,lower subansiri,15770,34273250.7179902
350,arunachal-pradesh,2020,2,papum pare,221728,535085907.34048563
351,arunachal-pradesh,2020,2,west kameng,95421,251395972.2250581
352,arunachal-pradesh,2020,2,changlang,69279,128572447.9979738
353,arunachal-pradesh,2020,2,lohit,56541,114730675.47714491
354,arunachal-pradesh,2020,2,east siang,55680,112693868.80998951
355,arunachal-pradesh,2020,2,tawang,44499,121561732.24171808
356,arunachal-pradesh,2020,2,namsai,34972,54870798.314045325
357,arunachal-pradesh,2020,2,west siang,32777,72790231.05472675
358,arunachal-pradesh,2020,2,tirap,28830,63497030.84081016
359,arunachal-pradesh,2020,2,lower dibang valley,26234,42360072.526896134
360,arunachal-pradesh,2020,3,papum pare,298350,859373863.7202579
361,arunachal-pradesh,2020,3,west kameng,111029,332812237.8096209
362,arunachal-pradesh,2020,3,changlang,73842,159158438.9254108
363,arunachal-pradesh,2020,3,east siang,69710,176323789.9443782
364,arunachal-pradesh,2020,3,lohit,65889,156523653.18643108
365,arunachal-pradesh,2020,3,tawang,56016,182137862.72423622
366,arunachal-pradesh,2020,3,namsai,37019,76484566.53480485
367,arunachal-pradesh,2020,3,west siang,34295,92449732.96070345
368,arunachal-pradesh,2020,3,tirap,30046,81539831.5295825
369,arunachal-pradesh,2020,3,lower dibang valley,27655,63469161.32860388
370,arunachal-pradesh,2020,4,papum pare,390528,1205917753.704622
371,arunachal-pradesh,2020,4,west kameng,129575,390436113.73663783
372,arunachal-pradesh,2020,4,east siang,88632,250515095.18896663
373,arunachal-pradesh,2020,4,changlang,84852,204367875.072993
374,arunachal-pradesh,2020,4,lohit,80530,196997836.7993369
375,arunachal-pradesh,2020,4,tawang,67262,240482254.58453602
376,arunachal-pradesh,2020,4,namsai,46762,111916731.5168758
377,arunachal-pradesh,2020,4,west siang,45207,125118193.0493962
378,arunachal-pradesh,2020,4,tirap,36124,104709589.66019578
379,arunachal-pradesh,2020,4,lower dibang valley,33455,81929299.56817816
380,arunachal-pradesh,2021,1,papum pare,419891,1388723426.715657
381,arunachal-pradesh,2021,1,west kameng,120906,384735272.8434415
382,arunachal-pradesh,2021,1,east siang,82357,253988360.79783508
383,arunachal-pradesh,2021,1,changlang,78849,220167765.51868472
384,arunachal-pradesh,2021,1,lohit,72380,198534806.93418798
385,arunachal-pradesh,2021,1,tawang,54137,207859088.4111589
386,arunachal-pradesh,2021,1,namsai,45753,116637630.67690109
387,arunachal-pradesh,2021,1,west siang,42575,138700637.2916148
388,arunachal-pradesh,2021,1,lower dibang valley,32427,90709108.52350858
389,arunachal-pradesh,2021,1,tirap,32043,110593517.14623192
390,arunachal-pradesh,2021,2,papum pare,552953,1501062555.477559
391,arunachal-pradesh,2021,2,west kameng,164866,482626617.8657546
392,arunachal-pradesh,2021,2,east siang,106787,286839106.4541313
393,arunachal-pradesh,2021,2,changlang,105461,264031910.3489421
394,arunachal-pradesh,2021,2,lohit,99686,230495504.24757007
395,arunachal-pradesh,2021,2,tawang,70061,251025037.9536393
396,arunachal-pradesh,2021,2,namsai,64781,147069902.35227838
397,arunachal-pradesh,2021,2,west siang,59341,180700138.79997092
398,arunachal-pradesh,2021,2,tirap,46320,144548683.32259288
399,arunachal-pradesh,2021,2,lower dibang valley,42091,105552358.12192988
400,arunachal-pradesh,2021,3,papum pare,710098,1995999756.337289
401,arunachal-pradesh,2021,3,west kameng,209165,658232385.7409549
402,arunachal-pradesh,2021,3,east siang,128957,368061706.2429154
403,arunachal-pradesh,2021,3,changlang,120126,319705502.4219795
404,arunachal-pradesh,2021,3,lohit,117879,275160751.4034922
405,arunachal-pradesh,2021,3,tawang,89052,365404078.3528414
406,arunachal-pradesh,2021,3,namsai,79292,177380632.18278238
407,arunachal-pradesh,2021,3,west siang,65763,217065611.3332364
408,arunachal-pradesh,2021,3,lower dibang valley,50270,133788746.95473911
409,arunachal-pradesh,2021,3,tirap,47118,143620525.85725692
410,arunachal-pradesh,2021,4,papum pare,919925,2435796597.178156
411,arunachal-pradesh,2021,4,west kameng,247346,765859269.2953706
412,arunachal-pradesh,2021,4,east siang,169617,450185173.03787607
413,arunachal-pradesh,2021,4,changlang,147432,403255246.4023236
414,arunachal-pradesh,2021,4,lohit,142772,328942905.2553121
